Rank,Movie Name,Year of Release,Rating,Imdb Link
1.,Golmaal,1979,8.5,https://imdb.com/title/tt0079221/
2.,3 Idiots,2009,8.4,https://imdb.com/title/tt1187043/
3.,Black Friday,2004,8.4,https://imdb.com/title/tt0400234/
4.,Masoom,1983,8.4,https://imdb.com/title/tt0085913/
5.,Guide,1965,8.4,https://imdb.com/title/tt0059246/
6.,Taare Zameen Par,2007,8.3,https://imdb.com/title/tt0986264/
7.,Pyaasa,1957,8.3,https://imdb.com/title/tt0050870/
8.,Satya,1998,8.3,https://imdb.com/title/tt0195231/
9.,Jaane Bhi Do Yaaro,1983,8.3,https://imdb.com/title/tt0085743/
10.,Chhoti Si Baat,1976,8.3,https://imdb.com/title/tt0072777/
11.,Khosla Ka Ghosla!,2006,8.3,https://imdb.com/title/tt0466460/
12.,Angoor,1982,8.3,https://imdb.com/title/tt0215517/
13.,Chupke Chupke,1975,8.3,https://imdb.com/title/tt0072783/
14.,Gangs of Wasseypur,2012,8.2,https://imdb.com/title/tt1954470/
15.,Zindagi Na Milegi Dobara,2011,8.2,https://imdb.com/title/tt1562872/
16.,"Swades: We, the People",2004,8.2,https://imdb.com/title/tt0367110/
17.,Bhaag Milkha Bhaag,2013,8.2,https://imdb.com/title/tt2356180/
18.,The Legend of Bhagat Singh,2002,8.2,https://imdb.com/title/tt0319736/
19.,Jo Jeeta Wohi Sikandar,1992,8.2,https://imdb.com/title/tt0104561/
20.,Paan Singh Tomar,2012,8.2,https://imdb.com/title/tt1620933/
21.,Lagaan: Once Upon a Time in India,2001,8.1,https://imdb.com/title/tt0169102/
22.,Barfi!,2012,8.1,https://imdb.com/title/tt2082197/
23.,Munna Bhai M.B.B.S.,2003,8.1,https://imdb.com/title/tt0374887/
24.,Dil Chahta Hai,2001,8.1,https://imdb.com/title/tt0292490/
25.,A Wednesday,2008,8.1,https://imdb.com/title/tt1280558/
26.,Rang De Basanti,2006,8.1,https://imdb.com/title/tt0405508/
27.,Chak De! India,2007,8.1,https://imdb.com/title/tt0871510/
28.,Sholay,1975,8.1,https://imdb.com/title/tt0073707/
29.,OMG: Oh My God!,2012,8.1,https://imdb.com/title/tt2283748/
30.,Omkara,2006,8.1,https://imdb.com/title/tt0488414/
31.,Hera Pheri,2000,8.1,https://imdb.com/title/tt0242519/
32.,Black,2005,8.1,https://imdb.com/title/tt0375611/
33.,Udaan,2010,8.1,https://imdb.com/title/tt1639426/
34.,Kahaani,2012,8.1,https://imdb.com/title/tt1821480/
35.,Sarfarosh,1999,8.1,https://imdb.com/title/tt0200087/
36.,Mughal-E-Azam,1960,8.1,https://imdb.com/title/tt0054098/
37.,Anand,1971,8.1,https://imdb.com/title/tt0066763/
38.,Iqbal,2005,8.1,https://imdb.com/title/tt0453729/
39.,Bawarchi,1972,8.1,https://imdb.com/title/tt0068257/
40.,Padosan,1968,8.1,https://imdb.com/title/tt0063404/
41.,Dilwale Dulhania Le Jayenge,1995,8,https://imdb.com/title/tt0112870/
42.,Gulaal,2009,8,https://imdb.com/title/tt1261047/
43.,Andaz Apna Apna,1994,8,https://imdb.com/title/tt0109117/
44.,Maqbool,2003,8,https://imdb.com/title/tt0379370/
45.,Lage Raho Munna Bhai,2006,8,https://imdb.com/title/tt0456144/
46.,Deewaar,1975,8,https://imdb.com/title/tt0072860/
47.,Company,2002,8,https://imdb.com/title/tt0296574/
48.,Special Chabbis,2013,8,https://imdb.com/title/tt2377938/
49.,Dor,2006,8,https://imdb.com/title/tt0824316/
50.,Vaastav: The Reality,1999,8,https://imdb.com/title/tt0220832/
51.,My Name Is Khan,2010,7.9,https://imdb.com/title/tt1188996/
52.,Kal Ho Naa Ho,2003,7.9,https://imdb.com/title/tt0347304/
53.,Jab We Met,2007,7.9,https://imdb.com/title/tt1093370/
54.,Hey Ram,2000,7.9,https://imdb.com/title/tt0222012/
55.,Salaam Bombay!,1988,7.9,https://imdb.com/title/tt0096028/
56.,Dev.D,2009,7.9,https://imdb.com/title/tt1327035/
57.,Lakshya,2004,7.9,https://imdb.com/title/tt0323013/
58.,Johnny Gaddaar,2007,7.9,https://imdb.com/title/tt1077248/
59.,Hazaaron Khwaishein Aisi,2003,7.9,https://imdb.com/title/tt0411469/
60.,Zakhm,1998,7.9,https://imdb.com/title/tt0211126/
61.,Pinjar: Beyond Boundaries...,2003,7.9,https://imdb.com/title/tt0347779/
62.,Shree 420,1955,7.9,https://imdb.com/title/tt0048613/
63.,The Lunchbox,2013,7.8,https://imdb.com/title/tt2350496/
64.,English Vinglish,2012,7.8,https://imdb.com/title/tt2181931/
65.,Mr. India,1987,7.8,https://imdb.com/title/tt0093578/
66.,Kai po che!,2013,7.8,https://imdb.com/title/tt2213054/
67.,Vicky Donor,2012,7.8,https://imdb.com/title/tt2317337/
68.,Abhimaan,1973,7.8,https://imdb.com/title/tt0069671/
69.,Parinda,1989,7.8,https://imdb.com/title/tt0102636/
70.,Mother India,1957,7.8,https://imdb.com/title/tt0050188/
71.,Stanley Ka Dabba,2011,7.8,https://imdb.com/title/tt1907761/
72.,Dasvidaniya,2008,7.8,https://imdb.com/title/tt1288638/
73.,Gangaajal,2003,7.8,https://imdb.com/title/tt0373856/
74.,Ab Tak Chhappan,2004,7.8,https://imdb.com/title/tt0402014/
75.,Awaara,1951,7.8,https://imdb.com/title/tt0043306/
76.,3 Deewarein,2003,7.8,https://imdb.com/title/tt0338490/
77.,Guru,2007,7.7,https://imdb.com/title/tt0499375/
78.,Water,I) (,7.7,https://imdb.com/title/tt0240200/
79.,Oye Lucky! Lucky Oye!,2008,7.7,https://imdb.com/title/tt1292703/
80.,Don,1978,7.7,https://imdb.com/title/tt0077451/
81.,Mumbai Meri Jaan,2008,7.7,https://imdb.com/title/tt1266583/
82.,Rock On!!,2008,7.7,https://imdb.com/title/tt1230165/
83.,Manorama: Six Feet Under,2007,7.6,https://imdb.com/title/tt0920464/
84.,Pyaar Ka Punchnama,2011,7.6,https://imdb.com/title/tt1926313/
85.,Wake Up Sid,2009,7.6,https://imdb.com/title/tt1324059/
86.,Raanjhanaa,2013,7.6,https://imdb.com/title/tt2359810/
87.,Sarkar,2005,7.6,https://imdb.com/title/tt0432047/
88.,Agneepath,1990,7.6,https://imdb.com/title/tt0098999/
89.,Bheja Fry,2007,7.6,https://imdb.com/title/tt1014672/
90.,Madras Cafe,2013,7.6,https://imdb.com/title/tt2855648/
91.,Aamir,2008,7.6,https://imdb.com/title/tt1241195/
92.,Earth,1998,7.6,https://imdb.com/title/tt0150433/
93.,Delhi Belly,2011,7.5,https://imdb.com/title/tt1934231/
94.,Ek Hasina Thi,2004,7.5,https://imdb.com/title/tt0352314/
95.,Shatranj Ke Khilari,1977,7.5,https://imdb.com/title/tt0076696/
96.,Jaane Tu... Ya Jaane Na,2008,7.4,https://imdb.com/title/tt0473367/
97.,Socha Na Tha,2005,7.4,https://imdb.com/title/tt0451919/
98.,Rangeela,1995,7.4,https://imdb.com/title/tt0114234/
99.,Gunda,1998,7.4,https://imdb.com/title/tt0497915/
100.,Qayamat Se Qayamat Tak,1988,7.4,https://imdb.com/title/tt0095936/
